self_play/promotion_threshold,self_play/opponent_generation,self_play/promotions,time/iterations,self_play/switched_opponent,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,eval/hellburner_deterministic_games,eval/self_play_sampled_reward,eval/hellburner_sampled_winrate,eval/hellburner_sampled_reward,eval/self_play_deterministic_score_diff,eval/hellburner_deterministic_score_diff,eval/hellburner_sampled_score_diff,eval/self_play_deterministic_winrate,eval/self_play_deterministic_promoted,eval/self_play_deterministic_games,eval/self_play_sampled_score_diff,eval/hellburner_deterministic_winrate,eval/self_play_sampled_winrate,eval/self_play_deterministic_reward,eval/self_play_sampled_games,eval/hellburner_sampled_games,eval/hellburner_deterministic_reward
0.8,0,0,1,0.0,33280,44,437.0,1.72558,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,33792,107,405.0,-0.48441,9,0.0028833765536546707,0.00341796875,256,0.002032235,3e-05,0.02445784752489999,-48.470388770103455,0.9587578773498535,-0.002919168458902277,0.2,,,,,,,,,,,,,,,,,
,,,3,,34304,172,436.3333333333333,-0.8611593333333333,8,-0.006357843056321144,0.0,260,0.0005697793,3e-05,0.011826270711026154,-16.74750789999962,0.8293684720993042,-0.0017540179833304137,0.2,,,,,,,,,,,,,,,,,
,,,4,,34816,229,448.0,-1.3913445,8,-0.006885094568133354,0.009765625,264,0.0030460933,3e-05,0.018503079016227275,-28.909631431102753,0.4367508292198181,-0.003080295900872443,0.2,,,,,,,,,,,,,,,,,
,,,5,,35328,282,409.0,-0.28381966666666664,9,-0.004989261738955975,0.0087890625,268,0.0023988558,3e-05,0.017019907740177587,-28.948341250419617,0.9738346934318542,-0.00195748548139818,0.2,,,,,,,,,,,,,,,,,
,,,6,,35840,341,414.57142857142856,0.13127742857142857,8,0.007191890850663185,0.0029296875,272,0.0022562384,3e-05,0.028593546187039465,-43.04720628261566,0.9337779879570007,-0.002930300062871538,0.2,,,,,,,,,,,,,,,,,
,,,7,,36352,397,395.3333333333333,-0.47296422222222234,9,0.01456429623067379,0.00341796875,276,0.0015470003,3e-05,0.042418247961904854,-64.19703543186188,0.9583237767219543,-0.0022910288244020194,0.2,,,,,,,,,,,,,,,,,
0.8,0,0,8,0.0,36864,784,385.6,-0.1995298000000001,5,-0.007539598736912012,0.00048828125,280,0.00040823838,3e-05,0.015234346356010064,-7.170304134488106,0.9171373248100281,-0.0023162311408668756,0.2,5,1.7885396986343056,0.0,-1.765812,-8547.8,-4735.6,-5103.6,0.0,0.0,5,13105.0,0.0,1.0,-1.6342737912457905,5,5,-1.7549079999999997
,,,9,,37376,845,391.54545454545456,-0.014674363636363723,5,0.010406173765659332,0.0087890625,284,0.0019109249,3e-05,0.03914927420555614,-52.60202419757843,0.9093345403671265,-0.0013371131499297917,0.2,,,,,,,,,,,,,,,,,
,,,10,,37888,897,400.5,0.08867091666666659,5,0.03261474519968033,0.00146484375,288,0.0013179971,3e-05,0.048473860952071846,-33.50351047515869,0.9241001605987549,-0.0028818783175665885,0.2,,,,,,,,,,,,,,,,,
,,,11,,38400,954,397.07142857142856,-0.3096535000000001,5,0.015119276940822601,0.0,292,0.00022766169,3e-05,0.035937960841692984,-26.856810867786407,0.9812512993812561,-0.0006489897350547835,0.2,,,,,,,,,,,,,,,,,
