rollout/ep_len_mean,self_play/opponent_generation,time/fps,self_play/promotion_threshold,self_play/promotions,self_play/switched_opponent,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/n_updates
499.0,0,11,0.8,0,0.0,1,-1.243876,46,512,,,,,,,,,,
438.5,,8,,,,2,0.4274319999999999,126,1024,-26.945347785949707,-1.3220759630203247,0.08389543,0.025315693113952875,0.40472412109375,0.4453125,0.0001,0.2,0.009721969603560865,2
412.0,,6,,,,3,-0.5392186666666666,228,1536,-47.512288093566895,-2.355008363723755,0.0958892,0.04282124084420502,-0.0834728479385376,0.4375,0.0001,0.2,0.019859971711412072,4
406.2,,6,,,,4,-0.4545032000000001,317,2048,-39.03123474121094,-1.919723629951477,0.022102818,0.01447544596157968,0.5589242577552795,0.1572265625,0.0001,0.2,0.01999354618601501,6
410.5,,6,,,,5,-0.1356493333333334,408,2560,-30.635389804840088,-1.4462887048721313,0.0010254312,-0.00018207659013569355,0.7612775564193726,0.0048828125,0.0001,0.2,0.015673180343583226,8
385.7142857142857,,6,,,,6,0.15296342857142853,510,3072,-45.204275131225586,-2.3088700771331787,0.0065945657,0.002285071648657322,0.9400888085365295,0.0576171875,0.0001,0.2,0.002613586897496134,10
390.1111111111111,,5,,,,7,-0.5479373333333334,607,3584,-36.37122440338135,-1.6753138303756714,0.00046981638,-0.0002861273242160678,0.9343422651290894,0.0,0.0001,0.2,0.00752718688454479,12
386.6,,5,,,,8,-0.6942676000000001,691,4096,-8.149540543556213,-0.4145109951496124,0.00030485936,0.00046850647777318954,0.9530476331710815,0.0,0.0001,0.2,0.004578184918500483,14
396.8181818181818,,5,,,,9,-0.9175668181818182,774,4608,-13.52418303489685,-0.6883001923561096,0.000121967634,0.00048496760427951813,0.8948475122451782,0.0,0.0001,0.2,0.004198173643089831,16
389.5833333333333,,5,,,,10,-0.6580479166666667,857,5120,-25.72752571105957,-1.321814775466919,0.004166198,0.0009659454226493835,0.9914923310279846,0.0283203125,0.0001,0.2,0.002557319530751556,18
380.07142857142856,,5,,,,11,-0.7762332142857142,952,5632,-35.100483894348145,-1.8341861963272095,0.008682385,-0.004305274167563766,0.9497178196907043,0.0576171875,0.0001,0.2,0.007371277897618711,20
387.8666666666667,,5,,,,12,-0.8592443333333333,1054,6144,-23.701448917388916,-1.1843057870864868,4.8791524e-05,-0.00015114480629563332,0.6343905925750732,0.0,0.0001,0.2,0.018603089032694697,22
348.5263157894737,,3,,,,13,-0.5644402631578949,1952,6656,-59.288578033447266,-2.984830617904663,0.009461105,-0.002891298441682011,0.9879826307296753,0.0693359375,0.0001,0.2,0.004519981099292636,24
349.5,,3,,,,14,-0.6311802500000001,2037,7168,-55.42320537567139,-2.5049259662628174,0.00668176,-0.0005975733511149883,0.8707643747329712,0.0537109375,0.0001,0.2,0.03526027454063296,26
